TRADE_DATE,TRADE_JDN,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,SHARE_VOLUME,ADJUSTED_CLOSE,TICKER_SYMBOL,State,City,Significant Difference
04-Feb-16,2457423,36.439999,37.700001,36.439999,37.549999,6586100,37.147691,LUV,Arizona,Phoenix,0.402308
03-Feb-16,2457422,36.849998,37.099998,35.639999,36.84,7973200,36.445299,LUV,Arizona,Scottsdale,0.394701
01-Feb-16,2457420,37.619999,38.59,37.389999,38.310001,6945600,37.899551,LUV,Arizona,Tucson,0.41045
29-Jan-16,2457417,36.169998,37.669998,35.509998,37.619999,9554500,37.216941,LUV,Arkansas,North Little Rock,0.403058
28-Jan-16,2457416,37.48,37.939999,35.709999,36.189999,8873100,35.802261,LUV,California,Concord,0.387738
27-Jan-16,2457415,38.619999,39,36.880001,37.290001,8898800,36.890478,LUV,California,Arden-Arcade,0.399523
26-Jan-16,2457414,38.240002,38.490002,37.77,38.369999,6382500,37.958905,LUV,California,Bakersfield,0.411094
25-Jan-16,2457413,39.349998,39.380001,38.130001,38.200001,9441200,37.790728,LUV,California,Benicia,0.409273
22-Jan-16,2457410,40,40.099998,38.849998,39,7001700,38.582157,LUV,California,Berkeley,0.417843
21-Jan-16,2457409,39.990002,41.5,38.939999,39.5,12315100,39.0768,LUV,California,Bethel Island,0.4232
20-Jan-16,2457408,39.130001,40.25,37.139999,39.299999,12197100,38.878942,LUV,California,Burbank,0.421057
15-Jan-16,2457403,39.290001,40.16,38.84,39.77,8215800,39.343907,LUV,California,Calexico,0.426093
14-Jan-16,2457402,40.310001,40.959999,39.259998,40.470001,8147500,40.036408,LUV,California,Capitan,0.433593
13-Jan-16,2457401,42.91,42.98,40.09,40.400002,6135200,39.967159,LUV,California,Chula Vista,0.432843
12-Jan-16,2457400,42.509998,42.77,41.330002,42.68,5999600,42.22273,LUV,California,Costa Mesa,0.45727
11-Jan-16,2457399,42.299999,42.880001,41.25,42.040001,6116900,41.589587,LUV,California,Crockett,0.450414
08-Jan-16,2457396,42.41,43.060001,42.110001,42.209999,7459400,41.757764,LUV,California,Cupertino,0.452235
07-Jan-16,2457395,42.950001,43.150002,41.560001,41.950001,8545600,41.500551,LUV,California,Davenport,0.44945
06-Jan-16,2457394,41.970001,43.5,41.799999,42.849998,6236500,42.390906,LUV,California,Eureka,0.459092
05-Jan-16,2457393,42.400002,43.080002,41.43,42.459999,9364100,42.005085,LUV,California,Fontana,0.454914
04-Jan-16,2457392,41.700001,42.189999,41.18,41.959999,5916400,41.510442,LUV,California,Fresno,0.449557
30-Dec-15,2457387,44.349998,44.419998,43.32,43.349998,2630600,42.885549,LUV,California,Goleta,0.464449
29-Dec-15,2457386,43.950001,44.419998,43.82,44.34,2722400,43.864944,LUV,California,Hawthorne,0.475056
28-Dec-15,2457385,43.93,44.41,43.290001,43.82,2243600,43.350515,LUV,California,Lompoc,0.469485
24-Dec-15,2457381,43.5,44.439999,43.5,43.900002,1963000,43.42966,LUV,California,Long Beach,0.470342
23-Dec-15,2457380,43.549999,43.630001,42.919998,43.439999,4838800,42.974585,LUV,California,Los Angeles,0.465414
22-Dec-15,2457379,43.560001,43.68,43.029999,43.540001,3756900,43.073516,LUV,California,Oakland,0.466485
21-Dec-15,2457378,43.240002,43.639999,43,43.369999,4934600,42.905336,LUV,California,Pittsburg,0.464663
18-Dec-15,2457375,43.240002,43.830002,42.669998,42.740002,8605900,42.282088,LUV,California,Rubidoux,0.457914
17-Dec-15,2457374,44.849998,45.220001,43.490002,43.509998,5083100,43.043835,LUV,California,San Diego,0.466163
15-Dec-15,2457372,44.290001,44.740002,43.810001,44.220001,5534500,43.746231,LUV,California,San Pablo,0.47377
14-Dec-15,2457371,43.650002,44,42.66,43.77,6437400,43.301052,LUV,California,San Jose,0.468948
11-Dec-15,2457368,44.549999,44.57,43.220001,43.419998,6601700,42.954799,LUV,California,San Francisco,0.465199
10-Dec-15,2457367,44.830002,45.860001,44.560001,45.25,9659800,44.765194,LUV,California,Vallejo,0.484806
09-Dec-15,2457366,45.139999,45.880001,43.849998,44.5,9673200,44.02323,LUV,California,West Los Angeles,0.47677
08-Dec-15,2457365,47.599998,47.599998,44.200001,45.040001,20004600,44.557445,LUV,California,Victorville,0.482556
07-Dec-15,2457364,49.880001,51.34,49.41,49.580002,8786000,48.974609,LUV,California,Vandenberg Air Force Base,0.605393
04-Dec-15,2457361,47.700001,49.450001,47.68,49.41,8516300,48.806683,LUV,Colorado,Denver,0.603317
03-Dec-15,2457360,47.52,47.93,46.689999,47.290001,7639800,46.71257,LUV,Colorado,Welby,0.577431
02-Dec-15,2457359,47.740002,48.490002,47.259998,47.509998,5450200,46.929881,LUV,Connecticut,New Haven,0.580117
30-Nov-15,2457357,45.900002,46,45.400002,45.880001,4812600,45.319787,LUV,Connecticut,Westport,0.560214
27-Nov-15,2457354,45.990002,46.290001,45.599998,45.82,4423300,45.260518,LUV,Connecticut,East Hartford,0.559482
25-Nov-15,2457352,46.419998,46.599998,45.700001,45.880001,3824600,45.319787,LUV,Connecticut,East Hartford,0.560214
24-Nov-15,2457351,46.41,46.650002,45.41,46.23,7939000,45.665511,LUV,Country of Mexico,Tijuana,0.564489
23-Nov-15,2457350,47.450001,47.759998,46.93,47.470001,4011200,46.890372,LUV,Country of Mexico,Rosarito,0.579629
20-Nov-15,2457347,47,47.400002,46.91,47.32,6133900,46.742202,LUV,Country of Mexico,Mexicali,0.577798
19-Nov-15,2457346,46.57,47.150002,46.5,46.869999,4140700,46.297696,LUV,District of Columbia,Washington,0.572303
18-Nov-15,2457345,45.93,46.419998,45.099998,46.310001,5641200,45.744536,LUV,Florida,Valrico,0.565465
17-Nov-15,2457344,46,46.66,45.77,45.93,4877500,45.369175,LUV,Florida,Winter Park,0.560825
13-Nov-15,2457340,46.549999,46.810001,45.66,45.889999,5348000,45.329663,LUV,Illinois,Chicago,0.560336
12-Nov-15,2457339,46.580002,47.189999,46.52,46.689999,4391400,46.119894,LUV,Illinois,Cicero,0.570105
11-Nov-15,2457338,46.759998,47.240002,46.52,46.720001,3835100,46.14953,LUV,Illinois,East Saint Louis,0.570471
10-Nov-15,2457337,46.299999,46.59,45.619999,46.459999,5147400,45.892703,LUV,Illinois,Northbrook,0.567296
09-Nov-15,2457336,46.720001,46.91,45.939999,46.369999,4073600,45.803801,LUV,Indiana,Indianapolis,0.566198
06-Nov-15,2457333,46.720001,47.32,46.52,46.849998,4858500,46.27794,LUV,Iowa,Davenport,0.572058
05-Nov-15,2457332,46.66,46.900002,46.310001,46.669998,4794300,46.100137,LUV,Iowa,Des Moines,0.569861
04-Nov-15,2457331,46.869999,46.970001,46.349998,46.639999,5384200,46.070505,LUV,Kansas,Kansas city,0.569494
03-Nov-15,2457330,47,47.150002,46.41,46.959999,5616300,46.386597,LUV,Kentucky,Ashland,0.573402
