SPOT_PRICE,TRADE_DATE,TRADE_JDN
1.386,29-Oct-15,2457325
1.407,28-Oct-15,2457324
1.353,26-Oct-15,2457322
1.389,23-Oct-15,2457319
1.39,22-Oct-15,2457318
1.333,20-Oct-15,2457316
1.34,19-Oct-15,2457315
1.358,16-Oct-15,2457312
1.341,14-Oct-15,2457310
1.34,13-Oct-15,2457309
1.372,12-Oct-15,2457308
1.474,08-Oct-15,2457304
1.449,07-Oct-15,2457303
1.437,05-Oct-15,2457301
1.407,02-Oct-15,2457298
1.403,01-Oct-15,2457297
1.393,29-Sep-15,2457295
1.367,28-Sep-15,2457294
1.408,25-Sep-15,2457291
1.366,23-Sep-15,2457289
1.377,22-Sep-15,2457288
1.353,21-Sep-15,2457287
1.377,17-Sep-15,2457283
1.392,16-Sep-15,2457282
1.338,15-Sep-15,2457281
1.395,11-Sep-15,2457277
1.417,10-Sep-15,2457276
1.383,09-Sep-15,2457275
1.43,07-Sep-15,2457273
1.43,04-Sep-15,2457270
1.453,02-Sep-15,2457268
1.402,01-Sep-15,2457267
1.502,31-Aug-15,2457266
1.358,27-Aug-15,2457262
1.247,26-Aug-15,2457261
1.243,25-Aug-15,2457260
1.322,21-Aug-15,2457256
1.352,20-Aug-15,2457255
1.35,19-Aug-15,2457254
1.416,17-Aug-15,2457252
1.415,14-Aug-15,2457249
1.456,12-Aug-15,2457247
1.433,11-Aug-15,2457246
1.456,10-Aug-15,2457245
1.428,06-Aug-15,2457241
1.417,05-Aug-15,2457240
1.431,04-Aug-15,2457239
1.455,31-Jul-15,2457235
1.475,30-Jul-15,2457234
1.485,28-Jul-15,2457232
1.464,27-Jul-15,2457231
1.511,24-Jul-15,2457228
1.53,22-Jul-15,2457226
1.543,21-Jul-15,2457225
1.499,20-Jul-15,2457224
1.515,16-Jul-15,2457220
1.525,15-Jul-15,2457219
1.575,14-Jul-15,2457218
1.568,10-Jul-15,2457214
1.577,09-Jul-15,2457213
1.566,08-Jul-15,2457212
1.581,06-Jul-15,2457210
1.695,03-Jul-15,2457207
1.685,01-Jul-15,2457205
1.727,30-Jun-15,2457204
1.678,29-Jun-15,2457203
1.69,25-Jun-15,2457199
1.708,24-Jun-15,2457198
1.716,23-Jun-15,2457197
1.698,19-Jun-15,2457193
1.765,18-Jun-15,2457192
1.75,17-Jun-15,2457191
1.719,15-Jun-15,2457189
1.74,12-Jun-15,2457186
1.767,11-Jun-15,2457185
1.757,09-Jun-15,2457183
1.711,05-Jun-15,2457179
1.815,01-Jun-15,2457175
1.766,28-May-15,2457171
1.794,26-May-15,2457169
